GeneID;Locus_tag;Strand;Start;End;EL (Biological replicate 1);EL (Biological replicate 2);EL (Biological replicate 3);ML (Biological replicate 1);ML (Biological replicate 2);ML (Biological replicate 3);SP (Biological replicate 1);SP (Biological replicate 2);SP (Biological replicate 3);EL_TEX (Biological replicate 1);EL_TEX (Biological replicate 2);EL_TEX(Biological replicate 3);ML_TEX (Biological replicate 1);ML_TEX (Biological replicate 2);ML_TEX (Biological replicate 3);SP_TEX (Biological replicate 1);SP_TEX (Biological replicate 2);SP_TEX (Biological replicate 3)
1072738;BT_0080;+;76586;76798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1074830;BT_0081;+;76823;77017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;633606896
1072712;BT_0082;-;77115;78035;3862030235;5303126601;3396087069;4178386096;4897847539;2203091863;2371050884;1498286842;2536326585;2035684939;2135683973;98556621;1524273619;3317799922;1114964744;3282872611;2155623526;241472335
1075057;BT_0083;-;78109;78975;8660985145;1111459555;8150521921;1080067022;1107715;5368943391;4507198894;4072030285;5538280215;5946806264;6539200896;5384319207;6476844307;8307620121;5395640612;4359177731;3761951981;6697816843
1075577;BT_0084;-;79079;79522;0;0;0;0;0;0;0;0;0;0;0;0;486436592;0;0;851217814;63878033;834819897
1072747;BT_0085;-;79544;80122;0;0;0;0;0;0;198503578;0;0;0;299750829;0;186509367;0;0;0;489841911;0
1072797;BT_0086;-;80125;81033;0;0;0;0;0;0;0;0;0;0;0;0;118799696;0;0;277184239;0;0
1072800;BT_0087;-;81067;82452;95049165;0;0;0;0;86115254;27641552;0;140449542;0;8348039;0;0;118108137;914687;90894831;204630928;0
1072745;BT_0088;-;82427;82732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41429941;0;0;0
1074832;BT_0089;-;82736;83359;0;0;0;205571239;0;0;0;0;0;0;0;0;0;174890896;0;0;568145967;39600431
1072791;BT_0090;-;83372;84397;0;0;112908678;125025783;0;0;0;0;0;0;0;12638631;105252362;212732785;0;122787755;138215627;120422363
1075581;BT_0091;-;84416;85045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199968629;0;0
1074934;BT_0092;-;85050;85406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;794449487;0
1072746;BT_0093;-;85435;87939;0;0;0;0;5808921;0;0;50078831;0;0;0;0;43109351;43565636;0;50291512;0;49322693
1072792;BT_0094;-;87936;88262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1072753;BT_0095;-;88274;88570;443562769;0;0;0;0;0;0;0;436954131;0;0;0;0;0;0;0;954944332;0
1072757;BT_0096;-;88735;89415;0;0;170109109;0;0;0;0;0;0;0;0;0;0;0;0;0;416473519;0
1072790;BT_0097;-;89417;89854;0;0;0;0;332222535;0;0;0;0;66883056;0;0;0;0;0;0;0;0
1075137;BT_0098;-;89859;90620;0;173234717;152026645;0;0;156634831;150831459;0;0;0;0;0;0;0;0;330656789;0;0
1072830;BT_0099;+;91004;91285;0;0;0;0;0;0;0;0;0;0;0;0;0;38699262;0;0;754304433;0
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
